item_id,subsystem,qty,manufacturer_or_standard,part_number_or_spec,description,required_characteristic,source_url
P1-M01,cell,1,Industrial plastics supplier,Clear polycarbonate 150 x 150 x 6 mm,Front cell plate,Machine hardware/cad/AHIS-P1-front-plate.step; center orifice 1.50 +/-0.05 mm,
P1-M02,cell,1,Industrial plastics supplier,Clear polycarbonate 150 x 150 x 6 mm,Back cell plate,Machine hardware/cad/AHIS-P1-back-plate.step; 17.0 mm fluid bulkhead opening at registered position,
P1-M03,cell,1,Industrial plastics supplier,Clear polycarbonate 150 x 150 x 10 mm,Cell spacer,Machine hardware/cad/AHIS-P1-spacer.step; 100 x 100 mm through cavity,
P1-M04,cell,2,Industrial gasket supplier,Silicone sheet 150 x 150 x 1.5 mm; Shore A 40-60,Flat gaskets,Cut per hardware/cad/AHIS-P1-gasket.step,
P1-M05,cell,12,ISO metric fastener,A2-70 M5 x 35 socket-head screw,Cell clamp fastener,Stainless; 12 canonical positions,
P1-M06,cell,24,ISO metric fastener,M5 stainless flat washer,Load-spreading washers,One under each screw head and nut,
P1-M07,cell,12,ISO metric fastener,M5 stainless nylon-insert locknut,Cell clamp nuts,Replace if nylon locking action degrades,
P1-M08,fluid,1,John Guest,PI1208S-US,1/4 in OD bulkhead union,0.67 in mounting hole; cell inlet,https://www.johnguest.com/us/en/od-tube-fittings/acetal-gray/bulkhead/bulkhead-union
P1-M09,fluid,2 m,Laboratory tubing supplier,1/4 in OD PTFE tubing,Gravity water line,Fits KIMAX reservoir quick-release outlet hardware and John Guest 1/4 in OD fittings,
P1-M10,fluid,1,DWK Life Sciences KIMBLE KIMAX,14612F-2000,2 L reservoir bottle with bottom valve outlet,Operate with top open/vented; bottom outlet supports rigid 1/4 in OD PTFE with supplied O-ring/cap; never pressurize,https://www.grainger.com/product/KIMBLE-Reservoir-Bottle-2-L-26CV96
P1-M11,fluid,1,Laboratory support stand or shelf system,Load rating >=5 kg; vertical adjustment >=850 mm; rigid anti-tip base,Reservoir elevation support,Secure reservoir so measured water head can be set 0-800 mm above orifice; calibrated pressure determines head,
P1-M12,fluid,0.5 m,Laboratory tubing supplier,3/16 in ID silicone tubing,Dry air-leg pressure line,Route continuously upward from water-line tee; sensor mounted above maximum water level,
